,fallacy_reason,fallacy_type,n_supporters,premise_content,premise_type,title,url
0,,None,1,"If everybody can use one platform u don't need to transfer anything even if you could do. An general announcement channel for very,very important things could stay linked to reach even more people that are not invested in the working area of the international level.",because,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
1,,None,1,"Hopefully not necessary because that will create more chaos. I personally hate to see the messages of the ISWG twice, once on Discord and once on Telegram. It's like the most useless thing ever. However for some channels like the swiss Translator channel it's usefull right now but not in the future.",but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
2,,None,1,"And you only can pin one message at a time, there is no history of pinned messages. ",because,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
3,,None,1,And this groups are accesible to everybody who wants it and you don't need to find a link to the group/know one person in the group. It fascilitates the acces to Working Groups and Projects. ,because,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
4,,None,1,"This only applies to individuall persons, so it does not provide any general overview and everybody has to put it in the respective foldes everytime a new group apears. ",but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
5,,None,2,You can disable notifications on discord very easily and countries like France use discord in a very efficient way which proves it is suitable for the movement,but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
6,,None,3,"At the moment all groups are on Telegram which is also not flexible and usable for all groups. Leaving it officially would allow each group to give their opinion in the platform most usable for them, and then make the decision most suitable for everybody. 
",however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
7,,None,3,If it's we explained I'm confident we can do it,however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
8,,None,4,"Absolutely! If we have for example a Discord server we can easily ""divide"" into groups",because,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
9,,None,1,We need these people! We must make it easy and be able to participate even if we're a lot,but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
10,,None,3,I'm personally confused with all these announcement channels,but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
11,,None,4,I don't find something with groups like Telegram easy to use as you have to be there to follow a discussin. It's almost impossible to read it afterwards,but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
12,,None,4,Even easier because it would be clearer,because,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
13,,None,4,"Other platforms are also easy to join and if it's all in the same place, you need to join only once",however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
14,,None,1,there are channels in telegram which exactly allow for this functionality,but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
15,,None,4,Doing this to every chat is a difficult task for many people.,but,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
16,,None,7,Discord or others platforms are also easy to use,however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
17,,None,2,This means that things are slow and don't get done if everyone does everything. I don't mean to say that not everyone should have a chance to have a say on things but there are better ways of splitting up groups and having those discussions that are open to all 🥰,however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
18,,None,5,It isn't robust for organising on because it's such a small space,however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
19,,None,2,"in experience this did not seem to work with discord, so why should it work with another plattform",however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
20,,None,1,Huge amount of messages come from the enormous amount of people wanting to participate,however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
21,,None,5,It is not very effective to use ,however,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
22,,None,1,"Muslim factions fight each other in syria at this very moment, muslims killing muslims, so that statement is incorrect.",but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
23,,None,1,"8:12 -  ""I will cast terror into the hearts of those who disbelieve. Therefore strike off their heads and strike off every fingertip of them""
Explicit command towards brutality. Nazi texts could also be saved by extreme semantics. Part of real meaning lies in what is expected to be understood.",but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
24,,None,2,"Other groups, states, religions etc. contribute to violence throughout the world",but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
25,,None,2,"It doesn’t imply Islam is a religion of peace, only that it isn’t a religion of complete intolerance.",but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
26,,None,3,They don’t all live peacefully.,but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
27,,None,1,It looks like they got a bit carried away...,but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
28,,None,1,It actually doesn't; It means submission.,but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
29,,None,1,"If we are using that as an example, We can't ignore that a large number of non-Muslims had been driven out of those countries. Saudia Arabia currently pride itself on having no non-muslims Saudis. 

The actions of humans is not always the result of islam (for good and bad) ",however,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
30,,None,1,What do you make of the Armenian genocide that was perpetrated by Muslim Turks?,but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
31,,None,1,"That's a difficult word to define. I suppose ""number of deaths"" would suffice here. For instance, in Genesis alone, God is depicted to have killed all but 6 humans. Or Elisha and the Two Bears, the tale of Abraham, etc. God kills a lot, and lots are killed in his name. Including Muhammed.",but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
32,,None,4,"I think that because violence is the opposite of peace.

synonyms:	law and order, lawfulness, order, peacefulness, peaceableness, harmony, nonviolence; formal: concord",but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
33,,None,1,"Given sufficiently biased interpretation, any argument can be deemed peaceful or redeemable. You can make a fairly convincing argument, for example, that it's the fault of France and Britain that WWII started, because if it weren't for their excessive punishment of Germany, Hitler would never rise.",but,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
34,,None,2,"Unlike the texts of the Old or New Testament, the violent passages of the Qur'an are open ended to interpretation, therefore it is not necessarily a religion that promotes violence.",however,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
35,,None,2,You're still implying the creator is governed by time by saying he must have a beginning. If he exists in a higher dimension then we couldn't possibly understand how time and space is not a factor just as an organism confined within 2D space could not comprehend a 3D object.,but,A creator must exist,https://en.arguman.org/a-creator-must-exist
36,,None,1,"The creator doesn't have to have been created, the creator can be eternal and outside of the cause-and-effect chain.
We know that the universe isn't eternal in this way, because it would mean that everything has been around forever, and entropy means that cannot be true.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
37,,None,5,"Lack of understanding does not presuppose a creator, nor does intimate understanding of science presuppose no creator.",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
38,,None,2,"Let me clarify it: I'm not saying that ""there is a God and He is perfect"". I'm rather saying that there must exist something we can call ""perfect"". That thing must be omnipotent and omnipresent, and It is God.",however,A creator must exist,https://en.arguman.org/a-creator-must-exist
39,,None,2,"If there must be a first cause for existence, then any creator must also have a first cause, ad nauseam.

The first cause is more likely the universe itself.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
