,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
0,"it does not matter what others do, only the rational reasons should matter",Appeal To Authority,No other international movement/NGO/protest group only uses telegram.,because,FFF International should leave Telegram,https://en.arguman.org/fff-international-should-leave-telegram
1,Relies on the Authority of Abraham Lincoln being Infallible.,Appeal To Authority,Abraham believed slavery was morally wrong,because,Slaves should be freed,https://en.arguman.org/slaves-should-be-freed
2,Bananas has nothing to do with this.,Irrelevant Conclusion,Bananas are blue.,but,Contributor should always be default beneficiary,https://en.arguman.org/contributor-should-always-be-default-beneficiary
3,"This premises unnecessarily discusses other religions, and that too a selective subset among those other religions.",Irrelevant Conclusion,"If Islam is not a religion of peace, then no organized monotheistic religion is. There is a common rhetoric of violence and subjugation in the majority of their religious scriptures.",however,Islam is a religion of peace.,https://en.arguman.org/islam-is-a-religion-of-peace
4,s;piderman,Begging The Question,The attack in Selma left many dead and it was erupting violence over something as little as skin color,because,African Americans should be able to vote-We shall overcome-LBJ,https://en.arguman.org/african-americans-should-be-able-to-vote
5,s;piderman,Begging The Question,"African Americans have been oppressed by the white community and it is very apperent that is no act is passed then there will be another civil war, or more violence arising in the country.",because,African Americans should be able to vote-We shall overcome-LBJ,https://en.arguman.org/african-americans-should-be-able-to-vote
6,s;piderman,Begging The Question,America is still living in a racist time against African Americans,but,African Americans should be able to vote-We shall overcome-LBJ,https://en.arguman.org/african-americans-should-be-able-to-vote
7,"There is a correlation between their success and their introversion, but it is not the direct cause.",Fallacy Of False Cause,"Very prominant figures in our history, such as Eleanor Roosevelt, Gandhi, and Rosa Parks have been introverted",but,Introverts are Undervalued,https://en.arguman.org/the-greater-our-knowledge-increases-the-greater-our-ignorance-unfolds
8,Why is the creator outside of this cause-and-effect chain? Entropy has nothing to do wth it.,Fallacy Of Special Pleading,"The creator doesn't have to have been created, the creator can be eternal and outside of the cause-and-effect chain.
We know that the universe isn't eternal in this way, because it would mean that everything has been around forever, and entropy means that cannot be true.",but,A creator must exist,https://en.arguman.org/a-creator-must-exist
9,"This argument assumes the premise ""Science has proved that God does not exist"" is true, yet the premise is not self-evident.",Begging The Question,Science has proved that God does not exist,however,The God of the bible loves people,https://en.arguman.org/the-god-of-the-bible-loves-people
10,This is irrelevant!,Irrelevant Conclusion,It's another THING we have to deal with!,however,We should try out the Arguman platform,https://en.arguman.org/we-should-try-out-the-arguman-platform
11,"There is no reason why code should look terrible when the tab-width is changed. In fact, code can look terrible, irrespective of the indentation style used.",Appeal To Belief,"But this matter when you send file to another person. If you use same tab-width it's still ok, but when you don't code looks terrible",but,Tabs are better than spaces for indentation (programming),https://en.arguman.org/tabs-are-better-than-spaces
